timestamp,seconds,minutes,hours,day,month,year,co2,co,PM1,PM2,light,temp in c,pressure,humidity
1680113515.4177754,41,7,14,29,3,2023,617.0707397460938,0.11,3.3,2.8,49.7664,21.734804298548262,974.7803137201545,24.28357520985663
1680113519.0647612,45,7,14,29,3,2023,617.0569458007812,0.09,3.6,2.9,49.7664,21.734804298548262,974.7268824292703,24.327599782773426
1680113522.7137413,48,7,14,29,3,2023,615.1203002929688,0.09,3.5,2.9,49.7664,21.729738467023708,974.7454391371446,24.33897395721297
1680113526.3631344,52,7,14,29,3,2023,615.1643676757812,0.10,3.5,2.9,49.7664,21.734804298548262,974.8070293920433,24.355544158968573
1680113530.010581,56,7,14,29,3,2023,616.4365844726562,0.11,3.5,2.9,49.7664,21.734804298548262,974.673451208911,24.405091513427735
1680113533.661207,59,7,14,29,3,2023,614.7041625976562,0.12,3.5,2.8,49.7664,21.734804298548262,974.7372802394207,24.289426966684406
1680113537.3074942,3,8,14,29,3,2023,614.6951293945312,0.10,3.5,2.7,49.7664,21.73987013036385,974.8337450815634,24.217291783935973
1680113540.9554808,7,8,14,29,3,2023,614.8198852539062,0.09,3.5,2.7,49.7664,21.73987013036385,974.7372802394207,24.195527374357827
1680113544.604719,10,8,14,29,3,2023,613.6982421875,0.09,3.6,2.7,49.7664,21.729738467023708,974.7966321128636,24.17829509416374
1680113548.250109,14,8,14,29,3,2023,613.249755859375,0.11,3.5,2.7,49.7664,21.724672635790192,974.7907106813167,24.217621626221046
1680113551.8950934,18,8,14,29,3,2023,612.3991088867188,0.09,3.5,2.8,49.7664,21.734804298548262,974.7454391371446,24.211933097090775
1680113555.5463738,21,8,14,29,3,2023,613.925048828125,0.10,3.6,2.6,49.7664,21.734804298548262,974.8070293920433,24.184149592972158
1680113559.1964624,25,8,14,29,3,2023,613.3092041015625,0.10,3.6,2.9,49.7664,21.734804298548262,974.7268824292703,24.090244988025002
1680113562.8447018,28,8,14,29,3,2023,613.076904296875,0.09,3.2,2.8,49.7664,21.734804298548262,974.6920083236477,24.007553192360874
1680113566.4948766,32,8,14,29,3,2023,612.1989135742188,0.09,3.3,2.9,49.7664,21.724672635790192,974.7535980658968,24.057101575496713
1680113570.1420853,36,8,14,29,3,2023,611.8487548828125,0.10,3.3,3.1,49.7664,21.734804298548262,974.7187237215807,24.10665037173427
1680113573.791374,39,8,14,29,3,2023,612.0692749023438,0.11,3.2,3.1,49.7664,21.73987013036385,974.7884729009966,24.11217427962656
1680113577.4389465,43,8,14,29,3,2023,613.3115234375,0.11,3.0,3.1,49.7664,21.734804298548262,974.7268824292703,24.106816574788276
1680113581.0859332,47,8,14,29,3,2023,611.9760131835938,0.10,3.0,3.4,49.7664,21.734804298548262,974.6467356251782,24.062625499714557
1680113584.734295,50,8,14,29,3,2023,609.6100463867188,0.09,3.1,3.9,49.7664,21.73987013036385,974.7617570256755,24.1233880818843
1680113588.3859239,54,8,14,29,3,2023,608.5427856445312,0.09,3.1,4.0,49.7664,21.744935962470482,974.7699160164786,24.150675680609687
1680113592.0354807,58,8,14,29,3,2023,607.1419677734375,0.09,3.1,4.0,49.7664,21.734804298548262,974.7535980658968,24.150675680609687
1680113595.6829984,1,9,14,29,3,2023,607.7317504882812,0.10,3.1,4.0,47.9232,21.744935962470482,974.7966321128636,24.151007083339344
1680113599.330496,5,9,14,29,3,2023,608.5880126953125,0.12,3.1,4.0,47.9232,21.73987013036385,974.7350411679859,24.184149592972158
1680113602.9755297,9,9,14,29,3,2023,609.5580444335938,0.10,3.1,4.0,47.9232,21.744935962470482,974.7431999377254,24.134103926249402
1680113606.6253502,12,9,14,29,3,2023,610.45556640625,0.09,3.1,4.0,49.7664,21.744935962470482,974.7431999377254,24.11167580002326
1680113610.2764592,16,9,14,29,3,2023,609.6077270507812,0.09,3.1,4.1,49.7664,21.750001794868147,974.7617570256755,24.084554651643916
1680113613.9236147,20,9,14,29,3,2023,609.6693725585938,0.09,3.1,3.9,49.7664,21.73987013036385,974.7617570256755,24.073506738486024
1680113617.574062,23,9,14,29,3,2023,609.5647583007812,0.09,3.1,3.9,49.7664,21.73987013036385,974.7699160164786,23.979430376979543
1680113621.2259376,27,9,14,29,3,2023,608.0462646484375,0.09,3.1,3.9,47.9232,21.73987013036385,974.7350411679859,23.95197735678992
1680113624.8730724,31,9,14,29,3,2023,609.521484375,0.10,3.1,3.9,49.7664,21.744935962470482,974.6816095055012,23.869113958261476
1680113628.519812,34,9,14,29,3,2023,609.9894409179688,0.12,2.8,3.8,49.7664,21.744935962470482,974.7083253279279,23.80834620015432
1680113632.166432,38,9,14,29,3,2023,609.423583984375,0.09,2.8,3.8,49.7664,21.744935962470482,974.7513587384861,23.796957870523155
1680113635.8118408,41,9,14,29,3,2023,609.04443359375,0.09,2.8,3.8,49.7664,21.744935962470482,974.7513587384861,23.85772721712202
1680113639.4606469,45,9,14,29,3,2023,609.596435546875,0.10,2.8,3.9,49.7664,21.734804298548262,974.7350411679859,23.985122158517825
1680113643.1103458,49,9,14,29,3,2023,609.4078979492188,0.10,2.8,3.9,49.7664,21.734804298548262,974.7617570256755,24.195031835756712
1680113646.759833,52,9,14,29,3,2023,609.2445068359375,0.11,3.0,4.0,49.7664,21.73987013036385,974.6920083236477,24.283739375999534
1680113650.4048464,56,9,14,29,3,2023,nan,0.10,3.1,4.0,49.7664,21.729738467023708,974.7164838766039,24.382997958720164
1680113654.0521243,0,10,14,29,3,2023,610.3416748046875,0.09,3.0,3.9,49.7664,21.73987013036385,974.7350411679859,24.31638884231372
1680113657.6988056,3,10,14,29,3,2023,610.5075073242188,0.09,2.9,3.9,49.7664,21.734804298548262,974.7268824292703,24.305669401902186
1680113661.3454757,7,10,14,29,3,2023,nan,0.11,3.0,3.9,49.7664,21.734804298548262,974.673451208911,24.217456710117123
1680113664.9897583,11,10,14,29,3,2023,608.9853515625,0.10,2.9,3.8,49.7664,21.734804298548262,974.7803137201545,24.184149592972158
1680113668.6361835,14,10,14,29,3,2023,608.2882080078125,0.09,2.9,3.5,49.7664,21.734804298548262,974.7268824292703,24.156530857074607
1680113672.2835188,18,10,14,29,3,2023,nan,0.10,2.9,3.5,49.7664,21.729738467023708,974.6920083236477,24.139959509313076
1680113675.9293544,22,10,14,29,3,2023,607.2532958984375,0.11,2.8,3.4,49.7664,21.73987013036385,974.7083253279279,24.128911899879142
1680113679.575504,25,10,14,29,3,2023,607.8453979492188,0.12,2.8,3.2,49.7664,21.744935962470482,974.7431999377254,24.134269822674543
1680113683.2207417,29,10,14,29,3,2023,nan,0.10,2.9,3.2,49.7664,21.744935962470482,974.7431999377254,24.194866636068326
1680113686.8671129,33,10,14,29,3,2023,607.5596313476562,0.09,2.9,3.2,49.7664,21.750001794868147,974.7246424563007,24.244416144030396
1680113690.514524,36,10,14,29,3,2023,607.9410400390625,0.09,2.8,2.9,49.7664,21.744935962470482,974.673451208911,24.228339110108582
1680113694.1660204,40,10,14,29,3,2023,nan,0.10,2.8,2.3,49.7664,21.750001794868147,974.7431999377254,24.194866636068326
1680113697.8109035,43,10,14,29,3,2023,607.2825927734375,0.09,2.8,2.3,49.7664,21.744935962470482,974.7246424563007,24.14498599152041
1680113701.4568279,47,10,14,29,3,2023,606.5585327148438,0.09,2.8,3.1,49.7664,21.750001794868147,974.7328010670168,24.22215589930199
1680113705.1038582,51,10,14,29,3,2023,nan,0.09,2.8,3.0,49.7664,21.750001794868147,974.7780750383038,24.161557882787175
1680113708.7522893,54,10,14,29,3,2023,606.0366821289062,0.09,2.8,3.0,49.7664,21.750001794868147,974.759517570267,24.211108048723165
1680113712.3989608,58,10,14,29,3,2023,606.0888061523438,0.10,2.8,3.0,49.7664,21.755067627556855,974.7513587384861,24.266511343966048
1680113716.0489287,2,11,14,29,3,2023,605.4447021484375,0.10,2.9,3.2,49.7664,21.750001794868147,974.8047913557534,24.183653613874206
1680113719.697001,5,11,14,29,3,2023,605.26318359375,0.10,2.9,3.2,49.7664,21.744935962470482,974.7513587384861,24.211108048723165
1680113723.3486893,9,11,14,29,3,2023,604.4944458007812,0.09,3.0,3.2,47.9232,21.744935962470482,974.7699160164786,24.26634694750826
1680113726.9940746,13,11,14,29,3,2023,604.2653198242188,0.10,3.0,3.3,49.7664,21.750001794868147,974.7454391371446,24.272035121818657
1680113730.6431828,16,11,14,29,3,2023,604.64404296875,0.09,3.0,3.4,49.7664,21.744935962470482,974.6897678331142,24.29413014470385
1680113734.290172,20,11,14,29,3,2023,605.5263671875,0.11,3.0,3.3,49.7664,21.744935962470482,974.7164838766039,24.28357520985663
1680113737.9390507,24,11,14,29,3,2023,605.2449340820312,0.11,2.8,3.4,49.7664,21.750001794868147,974.7246424563007,24.288770535299765
1680113741.5873663,27,11,14,29,3,2023,605.0250244140625,0.11,2.8,3.5,49.7664,21.734804298548262,974.673451208911,24.26115200697779
1680113745.2360804,31,11,14,29,3,2023,605.1893310546875,0.11,2.8,3.5,49.7664,21.744935962470482,974.7431999377254,24.249775370826345
1680113748.8839712,35,11,14,29,3,2023,604.6917114257812,0.11,2.9,3.5,49.7664,21.750001794868147,974.7513587384861,24.211438098302025
1680113752.5290961,38,11,14,29,3,2023,605.0840454101562,0.11,2.9,3.5,49.7664,21.744935962470482,974.7164838766039,24.194866636068326
1680113756.177457,42,11,14,29,3,2023,604.7891235351562,0.10,2.7,3.5,49.7664,21.744935962470482,974.7164838766039,24.200390465665215
